,Res tourisme Nice Belgique,Res tourisme Nice Allemagne,Res tourisme Nice Espagne,Google trend Belgique,Google trend Allemagne,Google trend Espagne,Nouvaux cas covid Belgique,Nouvaux cas covid Allemagne,Nouvaux cas covid Espagne,Hospitalisation FR,Hospitalisation ES,Hospitalisation BE
2018-01-01,1297.0,6296.0,1967.0,13,39,46,0,0,0,0.0,0.0,0.0
2018-01-15,1492.8166643889651,6087.439232861543,1456.2761493374064,17,32,31,0,0,0,0.0,0.0,0.0
2018-02-01,1806.0,6929.0,1352.0,35,25,51,0,0,0,0.0,0.0,0.0
2018-02-15,1919.4541815929435,11264.083207145131,2247.995265576545,22,52,31,0,0,0,0.0,0.0,0.0
2018-03-01,2166.0,15455.0,3096.0,30,43,55,0,0,0,0.0,0.0,0.0
2018-03-15,2810.685968802186,16048.430067837144,2957.1946405500885,36,61,36,0,0,0,0.0,0.0,0.0
2018-04-01,3770.0,15621.0,2246.0,48,59,31,0,0,0,0.0,0.0,0.0
2018-04-15,4355.481122983363,17920.524273512034,1978.000194739133,48,51,37,0,0,0,0.0,0.0,0.0
2018-05-01,4556.0,20361.0,1892.0,54,39,60,0,0,0,0.0,0.0,0.0
2018-05-15,4085.0316599856897,19219.25068696244,1873.4188314507487,27,48,15,0,0,0,0.0,0.0,0.0
2018-06-01,4852.0,17910.0,2026.0,72,55,30,0,0,0,0.0,0.0,0.0
2018-06-15,8684.015389558066,20995.70313029408,2398.005677615976,34,41,21,0,0,0,0.0,0.0,0.0
2018-07-01,12618.0,25575.0,3619.0,60,51,43,0,0,0,0.0,0.0,0.0
2018-07-15,11715.970884112008,26958.591872665507,5899.838700929376,60,60,49,0,0,0,0.0,0.0,0.0
2018-08-01,8470.0,26841.0,7890.0,32,34,43,0,0,0,0.0,0.0,0.0
2018-08-15,7263.326948558493,26737.708010676943,6640.836972128045,18,57,61,0,0,0,0.0,0.0,0.0
2018-09-01,6233.0,25519.0,3850.0,27,56,52,0,0,0,0.0,0.0,0.0
2018-09-15,4399.899890718086,22542.664745895083,2701.1758866977725,36,58,25,0,0,0,0.0,0.0,0.0
2018-10-01,2347.0,17037.0,2099.0,14,43,16,0,0,0,0.0,0.0,0.0
2018-10-15,1716.328347940101,10464.379917649663,1621.2874100996946,14,36,31,0,0,0,0.0,0.0,0.0
2018-11-01,1631.0,3840.0,1255.0,13,38,10,0,0,0,0.0,0.0,0.0
2018-11-15,1352.997888555035,2972.20539722425,1280.473766779959,13,18,10,0,0,0,0.0,0.0,0.0
2018-12-01,1016.0,4318.0,1379.0,13,29,21,0,0,0,0.0,0.0,0.0
2018-12-15,918.7882086204312,4808.136740096466,1235.834745028648,27,15,11,0,0,0,0.0,0.0,0.0
2019-01-01,1093.0,5131.0,973.0,30,34,31,0,0,0,0.0,0.0,0.0
2019-01-15,1519.2554311380184,5761.43322863374,878.5504435327571,54,47,9,0,0,0,0.0,0.0,0.0
2019-02-01,2143.0,6656.0,1189.0,13,17,31,0,0,0,0.0,0.0,0.0
2019-02-15,2512.339974582677,7187.609361566232,2063.074872650981,36,32,16,0,0,0,0.0,0.0,0.0
2019-03-01,2753.0,8470.0,3122.0,26,32,26,0,0,0,0.0,0.0,0.0
2019-03-15,2868.3199761495184,11441.42233520026,3990.144772052135,27,21,27,0,0,0,0.0,0.0,0.0
2019-04-01,2972.0,14879.0,4344.0,37,49,39,0,0,0,0.0,0.0,0.0
2019-04-15,3156.3252230823605,15188.69921009929,3625.840705928232,40,49,35,0,0,0,0.0,0.0,0.0
2019-05-01,3422.0,14941.0,2584.0,28,63,19,0,0,0,0.0,0.0,0.0
2019-05-15,3647.74596206534,16378.503815861295,2367.220198779032,29,37,45,0,0,0,0.0,0.0,0.0
2019-06-01,5064.0,18538.0,2586.0,35,55,43,0,0,0,0.0,0.0,0.0
2019-06-15,8293.214390103332,19026.28032653776,2778.6729870027134,42,77,71,0,0,0,0.0,0.0,0.0
2019-07-01,11281.0,19878.0,3652.0,66,67,40,0,0,0,0.0,0.0,0.0
2019-07-15,10322.908565911312,22593.847152482533,5622.460106771299,67,47,42,0,0,0,0.0,0.0,0.0
2019-08-01,7577.0,25136.0,7174.0,60,55,59,0,0,0,0.0,0.0,0.0
2019-08-15,6854.778686126841,23450.71717097918,5459.555296635417,50,50,100,0,0,0,0.0,0.0,0.0
2019-09-01,6454.0,19689.0,2482.0,42,57,43,0,0,0,0.0,0.0,0.0
2019-09-15,5131.300690896836,18010.111007906682,1983.540059305893,34,55,37,0,0,0,0.0,0.0,0.0
2019-10-01,3371.0,15270.0,2329.0,24,31,42,0,0,0,0.0,0.0,0.0
2019-10-15,2463.971840830539,9767.673547810611,2178.401644386336,28,36,27,0,0,0,0.0,0.0,0.0
2019-11-01,1840.0,3224.0,1740.0,20,27,27,0,0,0,0.0,0.0,0.0
2019-11-15,1405.933485167638,1893.435010701694,1479.5310711493412,28,16,27,0,0,0,0.0,0.0,0.0
2019-12-01,1006.0,2534.0,1221.0,24,40,37,0,0,0,0.0,0.0,0.0
2019-12-15,750.6866035749835,2652.6354504144274,955.1541819695716,46,22,32,0,0,0,0.0,0.0,0.0
2020-01-01,883.0,2712.0,894.0,11,33,18,0,0,0,0.0,0.0,0.0
2020-01-15,1671.7692571437706,3160.470444492502,1363.144084559953,27,28,25,0,0,0,0.0,0.0,0.0
2020-02-01,2363.0,3514.0,1839.0,15,23,26,0,2,0,0.0,0.0,0.0
2020-02-15,1644.8071147486562,2983.934182318384,1444.0874501087956,22,62,22,0,0,0,0.0,0.0,0.0
2020-03-01,513.0,2023.0,731.0,37,40,8,0,54,23,0.0,0.0,0.0
2020-03-15,51.85256466820827,1193.1939682826817,297.3613768033247,29,14,16,179,733,2178,0.0,0.0,263.0
2020-04-01,20.0,464.0,12.0,11,8,12,1681,5453,8008,24543.0,0.0,5219.0
2020-04-15,188.9468584568073,278.79899659989303,-83.41944206427345,3,5,4,1560,2486,3127,31623.0,0.0,5331.0
2020-05-01,96.0,129.0,29.0,10,12,4,586,1639,1483,25809.0,0.0,3109.0
2020-05-15,-729.2927501075649,-342.1680360071115,387.9352218950158,7,17,4,305,913,789,19801.0,0.0,1750.0
2020-06-01,166.0,901.0,1144.0,29,14,23,49,333,331,14237.0,0.0,821.0
2020-06-15,5229.023083259217,5608.094730493022,2023.457012977796,32,22,13,22,192,119,10707.0,0.0,393.0
2020-07-01,11181.0,11543.0,2741.0,44,67,18,100,466,273,8291.0,0.0,203.0
2020-07-15,11947.966971262038,13727.746429642371,2552.7025638012205,57,45,38,207,351,854,6873.0,0.0,150.0
2020-08-01,9250.0,12507.0,2021.0,30,53,33,684,955,3423,5177.0,2083.0,259.0
2020-08-15,5956.374667627081,8231.941272230031,2039.412692161872,26,47,34,587,1415,7029,4817.0,3409.0,309.0
